name_store;city_store;address_store;timestamp;article;barcode;name;drink_type;price;old_price;date_discount;available;weight;strenght;fatness;pack;country;brand;manufacturer;url;url_img
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:55.295738;129783;;Langs Rich & Refined;Виски;1890;1890;;True;;46;;1;Шотландия;Langs;Langs;https://simplewine.ru/catalog/product/langs_langs_rich_refined_07_129783/;https://simplewine.ru/upload/iblock/ef9/ef947f9ad691e8211b3b024412d821c3.jpg
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:57.012008;132190;;Writers’ Tears Japanese Cask Finish ;Виски;9290;9290;;True;;55;;1;Ирландия;Writers’ Tears;Writers’ Tears;https://simplewine.ru/catalog/product/writers_tears_writers_tears_japanese_cask_finish__07_gift_132190/;https://simplewine.ru/upload/iblock/4ba/4bacab0f343097a58dbcf787d52769af.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:58.418663;132191;;Writers’ Tears Cask Strength;Виски;620;620;;True;;53;;1;Ирландия;Writers’ Tears;Writers’ Tears;https://simplewine.ru/catalog/product/writers_tears_writers_tears_cask_strength_005_132191/;https://simplewine.ru/upload/iblock/bad/badc6c1d03ce67ff692d7e66d4c4cddc.jpg
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:59.802917;132193;;Writers' Tears Double Oak;Виски;5690;5690;;True;;46;;1;Ирландия;Writers’ Tears;Writers’ Tears;https://simplewine.ru/catalog/product/writers_tears_writers_tears_double_oak_07_gift_132193/;https://simplewine.ru/upload/iblock/d45/d454aec9e345f470820b691fb9d0b637.jpg
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:22:01.133273;132194;;Writers' Tears Double Oak;Виски;620;620;;True;;46;;1;Ирландия;Writers’ Tears;Writers’ Tears;https://simplewine.ru/catalog/product/writers_tears_writers_tears_double_oak_005_132194/;https://simplewine.ru/upload/iblock/3bb/3bba639943b4a12ac8d411e1ac0f6a40.jpg
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:22:02.668639;132195;;Writers’ Tears Cask Strength;Виски;16990;16990;;True;;54;;1;Ирландия;Writers’ Tears;Writers’ Tears;https://simplewine.ru/catalog/product/writers_tears_writers_tears_cask_strength_07_gift_132195/;https://simplewine.ru/upload/iblock/2f0/2f067a5f1dee94ded084c7e5a2999d13.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:22:04.101154;110916;;Liqueur de Melon Vert;Ликер;2640;2640;;True;;18;;1;Франция;Joseph Cartron;Joseph Cartron;https://simplewine.ru/catalog/product/joseph_cartron_07_10/;https://simplewine.ru/upload/iblock/b74/liker-liqueur-de-melon-vert_7.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:22:05.543191;110917;;Creme de Myrtille de Montagne;Ликер;2640;2640;;True;;18;;1;Франция;Joseph Cartron;Joseph Cartron;https://simplewine.ru/catalog/product/joseph_cartron_07_21/;https://simplewine.ru/upload/iblock/098/0985f39ab741af39ab9cfe765602aaa1.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:22:07.050001;132207;;Darroze Unique Collection Domaine de Bellair;Арманьяк;41490;41490;;True;;42;;1;Франция;Darroze;Darroze;https://simplewine.ru/catalog/product/darroze_darroze_unique_collection_domaine_de_bellair_1970_year_1970_07_gift_132207/;https://simplewine.ru/upload/iblock/c3c/c3c2131813760f5a931004e7847d2fa9.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:22:08.571703;132208;;Darroze Unique Collection Domaine de Monturon;Арманьяк;26490;26490;;True;;48;;1;Франция;Darroze;Darroze;https://simplewine.ru/catalog/product/darroze_darroze_unique_collection_domaine_de_monturon_1982_year_1982_07_gift_132208/;https://simplewine.ru/upload/iblock/4f7/4f79f4ed2ece4cf882e8dde51975bdd4.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:22:09.934995;132209;;Darroze Unique Collection Domaine de Monturon;Арманьяк;21990;21990;;True;;49;;1;Франция;Darroze;Darroze;https://simplewine.ru/catalog/product/darroze_darroze_unique_collection_domaine_de_monturon_1990_year_1990_07_gift_132209/;https://simplewine.ru/upload/iblock/532/53241dfbcb662f2f1a4271f6f946f69b.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:22:11.374420;132210;;Darroze Unique Collection Domaine de Pounon;Арманьяк;19490;19490;;True;;48;;1;Франция;Darroze;Darroze;https://simplewine.ru/catalog/product/darroze_darroze_unique_collection_domaine_de_pounon_1995_year_1995_07_gift_132210/;https://simplewine.ru/upload/iblock/15e/15e765f858e850d037570a67332b68a3.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:22:12.692832;110919;;Liqueur de Curacao Bleu;Ликер;2640;2640;;True;;25;;1;Франция;Joseph Cartron;Joseph Cartron;https://simplewine.ru/catalog/product/joseph_cartron_liqueur_de_curacao_bleu_07_2/;https://simplewine.ru/upload/iblock/0de/liker-liqueur-de-curacao-bleu_5.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:22:14.027295;110920;;Liqueur de Triple Sec;Ликер;440;440;;True;;40;;1;Франция;Joseph Cartron;Joseph Cartron;https://simplewine.ru/catalog/product/joseph_cartron_003/;https://simplewine.ru/upload/iblock/f74/liker-liqueur-de-triple-sec_5.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:22:15.607240;110924;;Liqueur de Triple Sec;Ликер;2640;2640;;True;;40;;1;Франция;Joseph Cartron;Joseph Cartron;https://simplewine.ru/catalog/product/joseph_cartron_07_15/;https://simplewine.ru/upload/iblock/f52/f525965b32a439dd4a3c659b67aa328a.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:22:16.994230;110926;;Pamplemousse Rose;Ликер;2640;2640;;True;;18;;1;Франция;Joseph Cartron;Joseph Cartron;https://simplewine.ru/catalog/product/joseph_cartron_07_22/;https://simplewine.ru/upload/iblock/82a/liker-pamplemousse-rose_5.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:22:18.441515;110927;;Liqueur de Peppermint Vert;Ликер;2640;2640;;True;;21;;1;Франция;Joseph Cartron;Joseph Cartron;https://simplewine.ru/catalog/product/joseph_cartron_07_20/;https://simplewine.ru/upload/iblock/7dd/7dd03cdd646314bc7111e3672995791c.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:22:19.751845;110928;;Liqueur de Cacao Brun;Ликер;2640;2640;;True;;25;;1;Франция;Joseph Cartron;Joseph Cartron;https://simplewine.ru/catalog/product/joseph_cartron_07_12/;https://simplewine.ru/upload/iblock/fd1/liker-liqueur-de-cacao-brun_1.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:22:21.088030;110929;;Liqueur de Cacao Blanc;Ликер;2640;2640;;True;;24;;1;Франция;Joseph Cartron;Joseph Cartron;https://simplewine.ru/catalog/product/joseph_cartron_07_7/;https://simplewine.ru/upload/iblock/36e/36efa8140125e70b92552ba7a1d30bef.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:22:22.533181;110930;;Liqueur d'Abricot Brandy;Ликер;2640;2640;;True;;25;;1;Франция;Joseph Cartron;Joseph Cartron;https://simplewine.ru/catalog/product/joseph_cartron_07_6/;https://simplewine.ru/upload/iblock/166/liker-liqueur-d-abricot-brandy_3.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:22:23.809478;110932;;Liqueur d'Amaretto;Ликер;2640;2640;;True;;25;;1;Франция;Joseph Cartron;Joseph Cartron;https://simplewine.ru/catalog/product/joseph_cartron_07/;https://simplewine.ru/upload/iblock/e97/liker-liqueur-d-amaretto_1.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:22:25.139635;110934;;Liqueur de Banane;Ликер;2640;2640;;True;;25;;1;Франция;Joseph Cartron;Joseph Cartron;https://simplewine.ru/catalog/product/joseph_cartron_07_1/;https://simplewine.ru/upload/iblock/c24/liker-liqueur-de-banane_5.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:22:26.409353;79551;;Martell Cordon Bleu;Коньяк;15390;15390;;True;;40;;1;Франция;Martell;Martell;https://simplewine.ru/catalog/product/martell_cordon_bleu_07_gift/;https://simplewine.ru/upload/iblock/f37/f37797ab39c88f443db810b1df1da87f.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:22:27.733880;110936;;Liqueur de Grenade;Ликер;2640;2640;;True;;18;;1;Франция;Joseph Cartron;Joseph Cartron;https://simplewine.ru/catalog/product/joseph_cartron_07_2/;https://simplewine.ru/upload/iblock/e05/liker-liqueur-de-grenade_1.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:22:28.979433;110937;;Creme de Mure de Roncieres;Ликер;2640;2640;;True;;18;;1;Франция;Joseph Cartron;Joseph Cartron;https://simplewine.ru/catalog/product/joseph_cartron_07_3/;https://simplewine.ru/upload/iblock/291/liker-creme-de-mure-de-roncieres_1.png
